Membership_ID,Age_Group,Games_Attended,Seasonal_Pass,Customer_Region
10218708,18-25,3,False,Canada
10043567,18-25,2,False,Canada
14272475,41-60,2,False,Canada
10034985,18-25,5,False,Canada
10004699,18-25,7,False,Canada
10043010,<18,7,False,Canada
10013460,26-40,3,False,Canada
93269968,26-40,8,False,Canada
10021603,26-40,7,False,Canada
10029771,18-25,30,True,Canada
08224341,18-25,6,False,USA
10037174,41-60,19,True,Canada
10024152,18-25,3,False,Canada
10000978,18-25,7,False,Canada
41565099,26-40,3,False,Canada
01876807,41-60,4,False,Canada
20876220,26-40,5,False,Canada
45770917,41-60,7,False,Canada
27659606,26-40,2,False,Canada
63431073,18-25,28,True,Canada
87016574,18-25,4,False,Canada
10002824,18-25,4,False,Canada
50941473,26-40,2,False,Canada
10034323,41-60,1,False,Canada
10022609,41-60,6,False,Canada
10024251,18-25,3,False,Canada
10167845,<18,1,False,Canada
10037439,18-25,3,False,Canada
10023128,26-40,1,False,Canada
50418019,26-40,4,False,Canada
10028953,<18,3,False,USA
10002159,18-25,1,False,Canada
10039582,26-40,1,False,Canada
10020062,18-25,4,False,Canada
27550612,<18,3,False,Canada
10000999,18-25,8,False,Canada
10042356,<18,7,False,Canada
15147639,18-25,3,False,Canada
10014802,18-25,18,True,Canada
10031155,26-40,8,False,Canada
11368611,18-25,8,False,Canada
10026843,26-40,5,False,Canada
10007006,26-40,5,False,Canada
69477703,26-40,5,False,USA
10019016,41-60,3,False,Canada
03002180,41-60,2,False,USA
10006423,18-25,6,False,USA
10038781,26-40,6,False,Canada
10010043,26-40,4,False,Canada
15590030,26-40,7,False,Canada
18309184,18-25,7,False,Canada
28130273,18-25,8,False,Canada
60466976,18-25,5,False,Canada
83936007,18-25,6,False,Canada
10011776,18-25,19,True,Canada
10038793,18-25,2,False,Canada
10033892,18-25,2,False,Canada
52835908,26-40,25,True,Canada
10040788,26-40,4,False,Canada
24421018,18-25,8,False,Canada
10015914,41-60,3,False,Canada
10038377,18-25,6,False,Canada
10029840,18-25,2,False,Canada
47140846,41-60,3,False,Canada
10017029,41-60,5,False,Canada
85249679,41-60,3,False,Canada
10005286,18-25,8,False,Canada
18946453,<18,4,False,Canada
10894509,41-60,4,False,USA
10014127,18-25,2,False,Canada
86206156,41-60,5,False,Canada
10690013,18-25,7,False,Canada
10003926,18-25,2,False,Canada
10015288,18-25,8,False,Canada
10023229,18-25,1,False,Canada
08655665,18-25,2,False,Canada
10027748,26-40,2,False,Canada
69651469,<18,5,False,Canada
10013331,60+,2,False,USA
89396559,26-40,19,True,Canada
10015803,26-40,28,True,Canada
10028910,26-40,3,False,Canada
10000576,26-40,5,False,Japan
10023640,26-40,4,False,Canada
08824223,18-25,2,False,Canada
10043298,18-25,6,False,Canada
10039592,26-40,1,False,Canada
10019393,<18,5,False,Canada
10043808,18-25,4,False,Canada
10023425,26-40,6,False,Canada
10029762,<18,1,False,Canada
10031459,60+,8,False,Canada
98301743,26-40,7,False,USA
19844967,18-25,5,False,Canada
10023938,18-25,2,False,Canada
06350301,18-25,8,False,Canada
10015370,<18,1,False,Canada
10012289,60+,8,False,Canada
10025856,18-25,7,False,Canada
10029660,41-60,21,True,Canada
10035275,41-60,7,False,Canada
10011405,41-60,24,True,Canada
